brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
1,A.C.A, بيش از 0 سال  کمتر از 12 سال ,TAB,,1750,6146,76.537, , ,6280,8030,70%,"مددجويان کميته امداد
,بهزيستي",,,60000,,
14083,ABCIXIMAB, بيمارستاني   تجويز توسط پزشك متخصص ثبات قيمت تا دوسال,VIAL,10MG/5ML,,2170000,70%, , ,3100000,3100000,70%,"مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,,
522,ABSORPTION  BASE   EUCERIN ),,BULK,,,150,70%, , ,215,215,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2015,ACARBOSE, توليد داخل ديابت,TAB,100 mg,3793,20107,74.198, , ,23307,27100,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63319,,
2016,ACARBOSE, توليد داخل ديابت,TAB,50   mg,3110,15913,74.359, , ,18290,21400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63323,,
3,ACETAMINOPHEN   (PARACETAMOL),,PED  DROP,100 mg/ml,0,59500,70, , ,85000,85000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
4,ACETAMINOPHEN   (PARACETAMOL), بيش از 0 سال  کمتر از 12 سال ,ORAL  SOL  OR  SYR,120 mg/5 ml,106200,193700,83.78, , ,125000,231200,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
7,ACETAMINOPHEN   (PARACETAMOL), بيش از 0 سال  کمتر از 12 سال ,TAB,325 mg,2880,5330,83.542, , ,3500,6380,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
8,ACETAMINOPHEN   (PARACETAMOL), بيش از 0 سال  کمتر از 12 سال ,SUPP,325 mg,6800,18000,78.947, , ,16000,22800,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2012,ACETAMINOPHEN   (PARACETAMOL), بيش از 0 سال  کمتر از 12 سال ,TAB,500 mg,3370,6590,82.685, , ,4600,7970,70%,"مددجويان کميته امداد
,بهزيستي",,,63310,,
5,ACETAMINOPHEN   (PARCETAMOL), بيش از 0 سال  کمتر از 12 سال ,ORAL  SUSP,120 mg/5 ml,100200,272120,78.692, , ,245600,345800,70%,"مددجويان کميته امداد
,بهزيستي",,,66440,,
6,ACETAMINOPHEN  (PARACETAMOL),,PED  SUPP,125 mg,6000,15800,79, , ,14000,20000,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
10,ACETAMINOPHEN  CODEINE,,TAB,500 + 8,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
2243,ACETAMINOPHEN  CODEINE,,TAB,300 mg - 20 mg,2900,5945,82, , ,4350,7250,70%,"مددجويان کميته امداد
,بهزيستي",,,63555,,
8440,ACETAMINOPHEN  CODEINE,,TAB,300 mg - 10 mg,,455,70%, , ,650,650,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,60785,52312,
11,ACETAZOLAMIDE,,TAB,250 mg,9803,15540,86.338, , ,8197,18000,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,60025,,
12,ACETAZOLAMIDE  (AS SODIUM), بيمارستاني /تاييد در داروخانه,INJ,500 mg,1296351,3126605,79.943, , ,2614649,3911000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,66967,12,
13,ACETIC  ACID,,BULK,,,420,70%, , ,600,600,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
60010,ACETIC  ACID  1/5%  EAR,,BULK,,,105,70%, , ,150,150,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
14,ACETONE,,BULK,,,134,70%, , ,192,192,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
15,ACETYLCHOLINE CHLORIDE, بيمارستاني /تاييد در داروخانه,OPHTH  AMP,1%,1365000,1578500,94.52, , ,305000,1670000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,66968,15,
16,ACETYLCYSTEINE, بيمارستاني,INJ,200 mg/ml    (2 g/10 ml),23454,86486,76.199, , ,90046,113500,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,66971,51914,
1868,ACETYLCYSTEINE, توليد داخل,TAB,200 mg,2552,4827,83.195, , ,3250,5802,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62987,,
20,ACICLOVIR,,OPHTH  OINT,3%,21600,48340,80.836, , ,38200,59800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,66972,,
21,ACICLOVIR,,TAB,200 mg,6918,14885,81.34,20%, ,11382,18300,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
23,ACICLOVIR,,SCORED  TAB,400 mg,13556,24226,84.12,20%, ,15244,28800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,,,
2366,ACICLOVIR, بيمارستاني   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,500 mg,51010,207803,75.564,20%, ,223990,275000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,63662,2366,
12401,ACICLOVIR,,TAB,800 mg,26834,42910,86.165,20%, ,22966,49800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
22,ACICLOVIR  (AS SODIUM), بيمارستاني   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,250 mg,37221,138675,76.13,20%, ,144935,182156,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,60040,,
17,ACITRETIN,   تجويز توسط پزشك متخصص /تاييد در داروخانه با سهم سازمان 80 درصد ,CAP,10 mg,64200,91880,92.995, , ,34600,98800,80%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,17,
18,ACITRETIN,   تجويز توسط پزشك متخصص / تاييد در داروخانه با سهم سازمان 80 درصد ,CAP,25 mg,142000,193200,93.786, , ,64000,206000,80%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,60032,18,
16164,ADALIMUMAB, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص و پزشك فوق تخصص بيماريهاي كودكان و بيماريهاي چشم و راديولوژي و بيماريهاي كليه و مجاري ادراري و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي پوست اسپوناسپونديليت آنكيلوزان و سرونگاتيواسپونديلو آرتروپاتي همراه با درگيري چشمي. با سهم سازمان 46.42 درصد  <br>يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص و پزشك فوق تخصص بيماريهاي كودكان و راديولوژي و بيماريهاي كليه و مجاري ادراري و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي پوست اسپونديليت آنكيلوزان و سرونكاتيواسپونديلو آرتروپاتي همراه با درگيري مفاصل / بيماريهاي التهاب روده  ،كرون يا كوليت اولسراتيو / پسوريازيس يا  ارتريت پسورياتيك با سهم سازمان 90 درصد  <br>يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص و پزشك فوق تخصص بيماريهاي كودكان و راديولوژي و بيماريهاي كليه و مجاري ادراري و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي پوست و بيماريهاي گوارشي اسپونديليت آنكيلوزان و سرونكاتيواسپونديلو آرتروپاتي همراه با انتزيت و داكتيليت  /ارتريت روماتوييد با سهم سازمان 80.34 درصد ,INJ,40MG / 0.8ML,2297122,"       7,572,698
      11,427,664
      12,525,512","55.428
83.645
91.681",5%, ,11364878,13662000,"46.42%
80.34%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,66976,16164,
6853,ADEFOVIR  DIPIVOXIL, پرونده اي   تجويز توسط پزشك متخصص   براي مبتلايان به هپاتيت B,TAB,10 mg,,6650,70%, , ,9500,9500,70%,"مددجويان کميته امداد
,بهزيستي",,,64642,,
1836,ADENOSINE, بيمارستاني تاييد در داروخانه,INJ,3 mg/ml    (2 ml),50166,211166,75.371, , ,230000,280166,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62957,1836,
25,ADULT COLD,,TAB,,3260,6760,81.84, , ,5000,8260,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,,5951,
26,ALBENDAZOL, تاييد در داروخانه,TAB,400 mg,,13440,70%, , ,19200,19200,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60050,26,
1377,ALBENDAZOL,,TAB,200 mg,,119,70%, , ,170,170,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
27,ALBUMIN  (HUMAN), قابل تاييد در ادارات کل   تجويز توسط پزشك متخصص ---صرفاً در خدمات باروري با سهم سازمان 90 درصد  <br>يا  بيمارستاني و قابل تاييد در ادارات کل<br> يا  قابل تاييد در ادارات کل   تجويز توسط پزشك متخصص<br> يا  بيمارستاني و قابل تاييد در ادارات کل,INFU,20%    (50 ml),6325000,"      10,264,600
      11,390,200","85.874
95.291",20%,"
90%",5628000,11953000,"70%
90%","مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60052,27,
11504,ALBUMIN  (HUMAN), بيمارستاني و قابل تاييد در ادارات کل<br> يا  قابل تاييد در ادارات کل   تجويز توسط پزشك متخصص,INJ,5%   ( 250 ml),12242000,13868100,95.215, , ,2323000,14565000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,65454,11504,
12520,ALBUMIN  (HUMAN),   تجويز توسط پزشك متخصص<br> يا  بيمارستاني,INFU,5%    (500 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,,
99901,ALBUMIN  (HUMAN),   تجويز توسط پزشك متخصص<br> يا  بيمارستاني,INJ,20%    (250 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60118,,
99902,ALBUMIN  (HUMAN),   تجويز توسط پزشك متخصص<br> يا  بيمارستاني,INJ,20%    (500 ml),,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,60052,,
60020,ALCHOLE IODE,,BULK,,,105,70%, , ,150,150,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
6354,ALDURAZYME® (LARONIDAS ), پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كودكان و بيماريهاي خون وانكولوژي و بيماريهاي غدد درون ريز و متابوليسم //  ام پي ال اس  /   ((بسيار مهم )) تجويز فقط توسط فوق تخصص غدد اطفال  و فوق تخصص خون و سرطان اطفال با سهم سازمان 100 درصد ,VIAL,100IU/ML 5ML,98057600,115676000,100, , ,17618400,115676000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64438,6353,
1842,ALENDRONATE  (AS SODIUM),,TAB,10 mg,711,1726,79.87, , ,1450,2161,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62968,,
2405,ALENDRONATE  (AS SODIUM),,TAB,35 mg,,273,70%, , ,390,390,70%,"مددجويان کميته امداد
,بهزيستي",,,67008,,
2406,ALENDRONATE  (AS SODIUM),,TAB,70 mg,6027,23752,75.767, , ,25322,31349,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,63715,,
11151,ALFENTANIL, بيمارستاني,INJ,0.5 mg/ml    (5 ml),,99400,70%, , ,142000,142000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,65415,11151,
1378,ALFENTANIL  (AS HCL),,INJ,0.5 mg/ml    (2 ml),,45430,70%, , ,64900,64900,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62698,1378,
1365,ALFENTANIL (AS HCL),,INJ,0.5 mg/ml    (10 ml),,197750,70%, , ,282500,282500,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67009,1365,
12292,ALGLUCOSIDASE, پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,VIAL,50mg,145439000,189584000,100, , ,44145000,189584000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67010,12292,
38,ALLOPURINOL,,TAB,100 mg,2724,6396,80.253, , ,5246,7970,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60064,,
2017,ALLOPURINOL,,TAB,300 mg,8195,15058,83.658, , ,9805,18000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,63327,,
39,ALMOND  OIL,,BULK,,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1974,ALMOND  OIL  BITTER,,BULK,,,394,70%, , ,564,564,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1381,ALPHA,,OINT,,,80500,70%, , ,115000,115000,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي",,,,92314,
40,ALPRAZOLAM,,SCORED  TAB,0.5 mg,1320,3441,79.103, , ,3030,4350,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,60066,,
1382,ALPRAZOLAM,,SCORED  TAB,1 mg,1330,3745,78.347, , ,3450,4780,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,62699,,
41,ALPRENOLOL HCL,,TAB,50 mg,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
5775,ALTEPLASE, بيمارستاني و پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص مغز واعصاب و در درمان سكته حاد ايسكميك مغزي توسط متخصص مغز و اعصاب و رعايت شرايط راهنماي طبابت باليني و عدم افزايش قيمت تا دو سال,VIAL,50MG,83249000,95846900,94.667, , ,17997000,101246000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67013,,
11407,ALTEPLASE, پرونده اي بيمه سلامت و بيمارستاني   تجويز توسط پزشك متخصص مغز واعصاب در درمان سكته حاد ايسكميك مغزي  و رعايت شرايط راهنماي طبابت باليني و عدم افزايش قيمت تا دو سال,VIAL,10MG,35445560,40384060,95.02, , ,7055000,42500560,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67012,11407,
22174,ALTEPLASE, پرونده اي بيمه سلامت و بيمارستاني   تجويز توسط پزشك متخصص مغز واعصاب به شرط  تجويز در بيمارستان و در درمان سكته حاد ايسكميك مغزي   و رعايت شرايط راهنماي طبابت باليني و عدم افزايش قيمت تا دو سال,VIAL,20MG,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
19762,ALTUZAN® (BEVACIZUMAB), پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,INJ,400MG/ 16ML,9335450,34285550,76.226, , ,35643000,44978450,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,5616,
9779,ALTUZAN®(BEVACIZUMAB), پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي,INJ,100MG/4Ml,2852733,9852733,76.658, , ,10000000,12852733,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67135,5615,
44,ALUMINIUM  CHLORIDE,,BULK,,,1260,70%, , ,1800,1800,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
45,ALUMINIUM  HYDROXIDE  (AS DRIED GEL), بيش از 0 سال  کمتر از 12 سال ,CHEWABLE  TAB,300 mg,,770,70%, , ,1100,1100,70%,"مددجويان کميته امداد
,بهزيستي
,مامايي",,,,,
46,ALUMINIUM  HYDROXIDE  (AS GEL), بيش از 0 سال  کمتر از 12 سال ,SUSP,320 mg/5 ml,82200,201200,79.777, , ,170000,252200,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,مامايي
,نياز به کد اصالت دارو",,,,46,
